source_id	source_qualified_name	edge_type	target_id	target_qualified_name	properties
2532	D-twse._api_test.test_tdcc	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'=' * 60"}]}
2531	D-twse._api_test.test_tpex	CALLS	2528	D-twse._api_test.record	{"callee":"record","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"'TPEx: exDailyQ'","v":"TPEx: exDailyQ"},{"i":1,"e":"f'ERROR: {e}'","v":"f\"ERROR: {e}\""},{"i":2,"e":"{}"},{"i":3,"k":"ok","e":"False"}]}
2531	D-twse._api_test.test_tpex	CALLS	336	D-twse.api-response-example.time	{"callee":"time.time","confidence":0.75,"strategy":"unique_name","candidates":1}
2531	D-twse._api_test.test_tpex	CALLS	1552	D-twse.twstock.fetcher.FinMindClient.get	{"callee":"tables[0].get","confidence":0.55,"strategy":"suffix_match","candidates":2,"args":[{"i":0,"e":"'fields'","v":"fields"},{"i":1,"e":"[]"}]}
2531	D-twse._api_test.test_tpex	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'=' * 60"}]}
2530	D-twse._api_test.test_twse	CALLS	2528	D-twse._api_test.record	{"callee":"record","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"'TWSE: MI_QFIIS'","v":"TWSE: MI_QFIIS"},{"i":1,"e":"f'ERROR: {e}'","v":"f\"ERROR: {e}\""},{"i":2,"e":"{}"},{"i":3,"k":"ok","e":"False"}]}
2530	D-twse._api_test.test_twse	CALLS	336	D-twse.api-response-example.time	{"callee":"time.time","confidence":0.75,"strategy":"unique_name","candidates":1}
2530	D-twse._api_test.test_twse	CALLS	1552	D-twse.twstock.fetcher.FinMindClient.get	{"callee":"data.get","confidence":0.55,"strategy":"suffix_match","candidates":2,"args":[{"i":0,"e":"'data'","v":"data"}]}
2530	D-twse._api_test.test_twse	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'=' * 60"}]}
1697	D-twse.model.kronos.Kronos.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.13,"strategy":"suffix_match","candidates":13}
1697	D-twse.model.kronos.Kronos.__init__	CALLS	2154	D-twse.model.module.DependencyAwareLayer	{"callee":"DependencyAwareLayer","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.d_model"}]}
1697	D-twse.model.kronos.Kronos.__init__	CALLS	2160	D-twse.model.module.DualHead	{"callee":"DualHead","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.s1_bits"},{"i":1,"e":"self.s2_bits"},{"i":2,"e":"self.d_model"}]}
1697	D-twse.model.kronos.Kronos.__init__	CALLS	2150	D-twse.model.module.HierarchicalEmbedding	{"callee":"HierarchicalEmbedding","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.s1_bits"},{"i":1,"e":"self.s2_bits"},{"i":2,"e":"self.d_model"}]}
1697	D-twse.model.kronos.Kronos.__init__	CALLS	2132	D-twse.model.module.RMSNorm	{"callee":"RMSNorm","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.d_model"}]}
1697	D-twse.model.kronos.Kronos.__init__	CALLS	2168	D-twse.model.module.TemporalEmbedding	{"callee":"TemporalEmbedding","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.d_model"},{"i":1,"e":"self.learn_te"}]}
1697	D-twse.model.kronos.Kronos.__init__	CALLS	2157	D-twse.model.module.TransformerBlock	{"callee":"TransformerBlock","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.d_model"},{"i":1,"e":"self.n_heads"},{"i":2,"e":"self.ff_dim"},{"i":3,"e":"self.ffn_dropout_p"},{"i":4,"e":"self.attn_dropout_p"},{"i":5,"e":"self.resid_dropout_p"}]}
1701	D-twse.model.kronos.Kronos.decode_s2	CALLS	2164	D-twse.model.module.DualHead.cond_forward	{"callee":"self.head.cond_forward","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"x2"}]}
1699	D-twse.model.kronos.Kronos.forward	CALLS	2164	D-twse.model.module.DualHead.cond_forward	{"callee":"self.head.cond_forward","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"x2"}]}
1708	D-twse.model.kronos.KronosPredictor.generate	CALLS	1704	D-twse.model.kronos.auto_regressive_inference	{"callee":"auto_regressive_inference","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"self.tokenizer"},{"i":1,"e":"self.model"},{"i":2,"e":"x_tensor"},{"i":3,"e":"x_stamp_tensor"},{"i":4,"e":"y_stamp_tensor"},{"i":5,"e":"self.max_context"},{"i":6,"e":"pred_len"},{"i":7,"e":"self.clip"}]}
1709	D-twse.model.kronos.KronosPredictor.predict	CALLS	1708	D-twse.model.kronos.KronosPredictor.generate	{"callee":"self.generate","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"x"},{"i":1,"e":"x_stamp"},{"i":2,"e":"y_stamp"},{"i":3,"e":"pred_len"},{"i":4,"e":"T"},{"i":5,"e":"top_k"},{"i":6,"e":"top_p"},{"i":7,"e":"sample_count"}]}
1709	D-twse.model.kronos.KronosPredictor.predict	CALLS	1705	D-twse.model.kronos.calc_time_stamps	{"callee":"calc_time_stamps","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"y_timestamp"}]}
1710	D-twse.model.kronos.KronosPredictor.predict_batch	CALLS	1708	D-twse.model.kronos.KronosPredictor.generate	{"callee":"self.generate","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"x_batch"},{"i":1,"e":"x_stamp_batch"},{"i":2,"e":"y_stamp_batch"},{"i":3,"e":"pred_len"},{"i":4,"e":"T"},{"i":5,"e":"top_k"},{"i":6,"e":"top_p"},{"i":7,"e":"sample_count"}]}
1710	D-twse.model.kronos.KronosPredictor.predict_batch	CALLS	1705	D-twse.model.kronos.calc_time_stamps	{"callee":"calc_time_stamps","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"y_timestamp"}]}
1691	D-twse.model.kronos.KronosTokenizer.__init__	CALLS	2128	D-twse.model.module.BSQuantizer	{"callee":"BSQuantizer","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.s1_bits"},{"i":1,"e":"self.s2_bits"},{"i":2,"e":"beta"},{"i":3,"e":"gamma0"},{"i":4,"e":"gamma"},{"i":5,"e":"zeta"},{"i":6,"e":"group_size"}]}
1691	D-twse.model.kronos.KronosTokenizer.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.13,"strategy":"suffix_match","candidates":13}
1691	D-twse.model.kronos.KronosTokenizer.__init__	CALLS	2157	D-twse.model.module.TransformerBlock	{"callee":"TransformerBlock","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.d_model"},{"i":1,"e":"self.n_heads"},{"i":2,"e":"self.ff_dim"},{"i":3,"e":"self.ffn_dropout_p"},{"i":4,"e":"self.attn_dropout_p"},{"i":5,"e":"self.resid_dropout_p"}]}
1695	D-twse.model.kronos.KronosTokenizer.decode	CALLS	1693	D-twse.model.kronos.KronosTokenizer.indices_to_bits	{"callee":"self.indices_to_bits","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"x"},{"i":1,"e":"half"}]}
1704	D-twse.model.kronos.auto_regressive_inference	CALLS	1700	D-twse.model.kronos.Kronos.decode_s1	{"callee":"model.decode_s1","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"input_tokens[0]"},{"i":1,"e":"input_tokens[1]"},{"i":2,"e":"current_stamp"}]}
1704	D-twse.model.kronos.auto_regressive_inference	CALLS	1701	D-twse.model.kronos.Kronos.decode_s2	{"callee":"model.decode_s2","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"context"},{"i":1,"e":"sample_pre"}]}
1704	D-twse.model.kronos.auto_regressive_inference	CALLS	1695	D-twse.model.kronos.KronosTokenizer.decode	{"callee":"tokenizer.decode","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"input_tokens"},{"i":1,"k":"half","e":"True"}]}
1704	D-twse.model.kronos.auto_regressive_inference	CALLS	1694	D-twse.model.kronos.KronosTokenizer.encode	{"callee":"tokenizer.encode","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"x"},{"i":1,"k":"half","e":"True"}]}
1704	D-twse.model.kronos.auto_regressive_inference	CALLS	1703	D-twse.model.kronos.sample_from_logits	{"callee":"sample_from_logits","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"s2_logits"},{"i":1,"k":"temperature","e":"T"},{"i":2,"k":"top_k","e":"top_k"},{"i":3,"k":"top_p","e":"top_p"},{"i":4,"k":"sample_logits","e":"True"}]}
1703	D-twse.model.kronos.sample_from_logits	CALLS	1702	D-twse.model.kronos.top_k_top_p_filtering	{"callee":"top_k_top_p_filtering","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"logits"},{"i":1,"k":"top_k","e":"top_k"},{"i":2,"k":"top_p","e":"top_p"}]}
2129	D-twse.model.module.BSQuantizer.__init__	CALLS	2115	D-twse.model.module.BinarySphericalQuantizer	{"callee":"BinarySphericalQuantizer","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.codebook_dim"},{"i":1,"e":"beta"},{"i":2,"e":"gamma0"},{"i":3,"e":"gamma"},{"i":4,"e":"zeta"},{"i":5,"k":"group_size","e":"group_size"}]}
2129	D-twse.model.module.BSQuantizer.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2131	D-twse.model.module.BSQuantizer.forward	CALLS	2130	D-twse.model.module.BSQuantizer.bits_to_indices	{"callee":"self.bits_to_indices","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"quantized"}]}
2116	D-twse.model.module.BinarySphericalQuantizer.__init__	CALLS	2123	D-twse.model.module.BinarySphericalQuantizer.indexes_to_codes	{"callee":"self.indexes_to_codes","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"group_codes"}]}
2118	D-twse.model.module.BinarySphericalQuantizer.forward	CALLS	2122	D-twse.model.module.BinarySphericalQuantizer.codes_to_group_indexes	{"callee":"self.codes_to_group_indexes","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"zq.detach()"}]}
